date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,year,month
2016-01-15,Mwanza,Nyamagana,Mwanza Region,-2.517,32.91,cereals and tubers,Maize (white),KG,actual,Retail,TZS,770.0,0.3614,2016,1
2016-01-15,Mwanza,Nyamagana,Mwanza Region,-2.517,32.91,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,1200.0,0.5633,2016,1
2016-01-15,Mwanza,Nyamagana,Mwanza Region,-2.517,32.91,cereals and tubers,Rice,KG,actual,Retail,TZS,2133.3,1.0014,2016,1
2016-01-15,Mwanza,Nyamagana,Mwanza Region,-2.517,32.91,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Mwanza,Nyamagana,Mwanza Region,-2.517,32.91,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Mwanza,Nyamagana,Mwanza Region,-2.517,32.91,pulses and nuts,Soybeans,KG,actual,Retail,TZS,2200.0,1.0327,2016,1
2016-01-15,Njombe,Njombe Urban,Njombe Region,-9.45485321,34.71435371,cereals and tubers,Maize (white),KG,actual,Retail,TZS,800.0,0.3755,2016,1
2016-01-15,Njombe,Njombe Urban,Njombe Region,-9.45485321,34.71435371,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,1000.0,0.4694,2016,1
2016-01-15,Njombe,Njombe Urban,Njombe Region,-9.45485321,34.71435371,cereals and tubers,Rice,KG,actual,Retail,TZS,2300.0,1.0796,2016,1
2016-01-15,Njombe,Njombe Urban,Njombe Region,-9.45485321,34.71435371,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,1500.0,0.7041,2016,1
2016-01-15,Njombe,Njombe Urban,Njombe Region,-9.45485321,34.71435371,pulses and nuts,Beans (green),KG,actual,Retail,TZS,3841.8,1.8033,2016,1
2016-01-15,Njombe,Njombe Urban,Njombe Region,-9.45485321,34.71435371,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,1500.0,0.7041,2016,1
2016-01-15,Njombe,Njombe Urban,Njombe Region,-9.45485321,34.71435371,pulses and nuts,Soybeans,KG,actual,Retail,TZS,2000.0,0.9388,2016,1
